Metric,Feature,Value
Feature Importance,ECE 111,0.02737157358454444
Feature Importance,ECE 112,0.03352016120893889
Feature Importance,ECE 114,0.035373115793912856
Feature Importance,ECE 121,0.04838816329443028
Feature Importance,ECE 122,0.15617502670360267
Feature Importance,ECE 131,0.04063622951824699
Feature Importance,ECE 132,0.026097629114392704
Feature Importance,ECE 133,0.03419001467515721
Feature Importance,ECE 141,0.038490285077146365
Feature Importance,ECE 143,0.032651505136640536
Feature Importance,ECE 142,0.03214463182499559
Feature Importance,ECE 146,0.03522939470005615
Feature Importance,ECE 152,0.03734475600282167
Feature Importance,ECE 153,0.020208088317323885
Feature Importance,ECE 156,0.024897681344253117
Feature Importance,ECE 151,0.031100644542502744
Feature Importance,ECE 154,0.049016341773578484
Feature Importance,ECE 158,0.020261209255531813
Feature Importance,ECE 155,0.021973078635150346
Feature Importance,ECE 162,0.05390473286544036
Feature Importance,ECE 160,0.026405438842839846
Feature Importance,ECE 163,0.016810217641541236
Feature Importance,ECE 164,0.02866879146384518
Feature Importance,ECE 166,0.05254175786947699
Feature Importance,ECE 167,0.016782532802291753
Feature Importance,ECE 168,0.028950082080021228
Feature Importance,ECE 202,0.03086691593131647
Accuracy,,0.9672131147540983
Precision,,0.9696417729204615
Recall,,0.9672131147540983
F1 Score,,0.9673752477031166
Total Passed,,57
Total Failed,,76
Average Grade per Course,ECE 111,2.659774436090226
Average Grade per Course,ECE 112,2.790977443609023
Average Grade per Course,ECE 114,2.387593984962406
Average Grade per Course,ECE 121,2.0
Average Grade per Course,ECE 122,2.256015037593985
Average Grade per Course,ECE 131,2.0398496240601505
Average Grade per Course,ECE 132,2.551127819548872
Average Grade per Course,ECE 133,2.1954887218045114
Average Grade per Course,ECE 141,2.225563909774436
Average Grade per Course,ECE 143,2.720300751879699
Average Grade per Course,ECE 142,2.3537593984962406
Average Grade per Course,ECE 146,1.933458646616541
Average Grade per Course,ECE 152,2.4830827067669174
Average Grade per Course,ECE 153,2.6962406015037597
Average Grade per Course,ECE 156,2.2582706766917293
Average Grade per Course,ECE 151,2.53609022556391
Average Grade per Course,ECE 154,2.2469924812030073
Average Grade per Course,ECE 158,2.540977443609023
Average Grade per Course,ECE 155,2.501127819548872
Average Grade per Course,ECE 162,2.7289473684210526
Average Grade per Course,ECE 160,2.31390977443609
Average Grade per Course,ECE 163,2.293233082706767
Average Grade per Course,ECE 164,2.4221804511278195
Average Grade per Course,ECE 166,2.0026315789473688
Average Grade per Course,ECE 167,2.36390977443609
Average Grade per Course,ECE 168,2.023308270676692
Average Grade per Course,ECE 202,1.7142857142857142
